	ClusterID	Centroid	Sample_n	Seq_n	Samples	Sequences
819	Cluster_4055	Unassigned_SRR5275900_107612	11	37	SRR5275900,SRR5275925,SRR5275907,SRR5275902,SRR5275927,SRR5275906,SRR5275904,SRR5275903,SRR5275919,SRR5275908,SRR5275897	SRR5275900_107612,SRR5275925_265574,SRR5275907_445736,SRR5275900_286743,SRR5275902_534147,SRR5275927_240578,SRR5275927_108196,SRR5275906_7521,SRR5275925_546543,SRR5275900_248606,SRR5275904_27245,SRR5275903_300050,SRR5275907_81543,SRR5275903_87555,SRR5275919_380715,SRR5275902_304363,SRR5275903_287077,SRR5275908_263665,SRR5275919_273612,SRR5275919_526634,SRR5275919_594947,SRR5275897_442383,SRR5275925_756849,SRR5275925_158167,SRR5275900_78753,SRR5275897_465123,SRR5275927_153799,SRR5275902_200605,SRR5275908_295311,SRR5275908_462763,SRR5275903_364755,SRR5275919_149450,SRR5275897_208550,SRR5275903_487894,SRR5275907_424098,SRR5275904_34428,SRR5275903_191635
820	Cluster_4060	Unassigned_SRR5275903_174941	8	16	SRR5275903,SRR5275908,SRR5275904,SRR5275902,SRR5275907,SRR5275919,SRR5275906,SRR5275900	SRR5275903_174941,SRR5275908_257470,SRR5275904_328708,SRR5275902_146018,SRR5275907_591368,SRR5275919_417534,SRR5275908_95972,SRR5275919_334298,SRR5275906_101146,SRR5275906_216265,SRR5275904_445795,SRR5275907_116153,SRR5275900_317331,SRR5275902_478529,SRR5275900_458245,SRR5275903_51581
821	Cluster_4068	Unassigned_SRR5275902_434886	6	12	SRR5275902,SRR5275906,SRR5275900,SRR5275919,SRR5275925,SRR5275927	SRR5275902_434886,SRR5275906_626999,SRR5275900_584006,SRR5275919_314530,SRR5275900_279376,SRR5275925_193139,SRR5275925_165564,SRR5275906_159933,SRR5275927_673747,SRR5275927_390735,SRR5275902_242797,SRR5275919_582219
822	Cluster_4069	Unassigned_SRR5275903_367870	8	11	SRR5275903,SRR5275927,SRR5275904,SRR5275906,SRR5275907,SRR5275919,SRR5275900,SRR5275902	SRR5275903_367870,SRR5275927_118858,SRR5275904_483048,SRR5275906_546128,SRR5275907_25354,SRR5275919_448404,SRR5275906_587105,SRR5275900_610736,SRR5275927_260267,SRR5275902_132261,SRR5275919_437644
823	Cluster_4072	Unassigned_SRR5275903_379714	8	11	SRR5275903,SRR5275902,SRR5275900,SRR5275927,SRR5275907,SRR5275925,SRR5275897,SRR5275919	SRR5275903_379714,SRR5275902_196731,SRR5275900_321739,SRR5275927_189239,SRR5275907_420879,SRR5275925_525351,SRR5275925_664336,SRR5275897_148398,SRR5275919_578834,SRR5275927_30223,SRR5275919_385035
824	Cluster_4078	Unassigned_SRR5275903_120137	5	10	SRR5275903,SRR5275907,SRR5275908,SRR5275906,SRR5275919	SRR5275903_120137,SRR5275907_493803,SRR5275908_181469,SRR5275903_191482,SRR5275906_612985,SRR5275907_26508,SRR5275919_190594,SRR5275908_346624,SRR5275906_347850,SRR5275919_536532
825	Cluster_4082	Unassigned_SRR5275906_465345	5	10	SRR5275906,SRR5275904,SRR5275907,SRR5275908,SRR5275903	SRR5275906_465345,SRR5275904_189926,SRR5275907_216633,SRR5275908_282721,SRR5275904_363819,SRR5275906_20063,SRR5275903_153955,SRR5275903_338508,SRR5275908_456433,SRR5275907_118859
826	Cluster_4086	Unassigned_SRR5275903_61342	10	10	SRR5275903,SRR5275925,SRR5275904,SRR5275919,SRR5275908,SRR5275902,SRR5275906,SRR5275897,SRR5275907,SRR5275900	SRR5275903_61342,SRR5275925_306397,SRR5275904_154879,SRR5275919_242479,SRR5275908_78646,SRR5275902_316503,SRR5275906_605879,SRR5275897_117377,SRR5275907_445304,SRR5275900_210148
827	Cluster_4088	Unassigned_SRR5275906_50732	7	10	SRR5275906,SRR5275903,SRR5275919,SRR5275925,SRR5275897,SRR5275908,SRR5275900	SRR5275906_50732,SRR5275903_430931,SRR5275919_415116,SRR5275925_165954,SRR5275897_455045,SRR5275897_172602,SRR5275908_464943,SRR5275908_217938,SRR5275919_389792,SRR5275900_258158
828	Cluster_4090	Unassigned_SRR5275919_418029	5	10	SRR5275919,SRR5275904,SRR5275903,SRR5275906,SRR5275900	SRR5275919_418029,SRR5275904_372233,SRR5275903_61493,SRR5275906_111239,SRR5275904_443044,SRR5275900_102425,SRR5275919_578003,SRR5275903_197942,SRR5275900_13884,SRR5275906_71157
829	Cluster_4094	Unassigned_SRR5275900_149244	6	10	SRR5275900,SRR5275907,SRR5275904,SRR5275902,SRR5275908,SRR5275906	SRR5275900_149244,SRR5275907_371843,SRR5275900_612837,SRR5275904_472436,SRR5275907_173691,SRR5275904_19929,SRR5275902_237393,SRR5275908_463280,SRR5275906_95119,SRR5275906_151696
830	Cluster_4098	Unassigned_SRR5275908_358860	9	10	SRR5275908,SRR5275903,SRR5275897,SRR5275904,SRR5275906,SRR5275919,SRR5275900,SRR5275902,SRR5275907	SRR5275908_358860,SRR5275903_277197,SRR5275897_92113,SRR5275904_498072,SRR5275906_275790,SRR5275919_596779,SRR5275919_409634,SRR5275900_365304,SRR5275902_547726,SRR5275907_259279
831	Cluster_4105	Unassigned_SRR5275919_340771	9	14	SRR5275919,SRR5275897,SRR5275908,SRR5275900,SRR5275907,SRR5275925,SRR5275902,SRR5275904,SRR5275906	SRR5275919_340771,SRR5275919_161226,SRR5275897_397599,SRR5275908_462015,SRR5275900_269432,SRR5275907_322189,SRR5275897_459394,SRR5275925_601043,SRR5275902_163968,SRR5275902_572288,SRR5275904_25311,SRR5275904_56553,SRR5275906_339323,SRR5275908_198199
832	Cluster_4111	Unassigned_SRR5275902_108045	6	10	SRR5275902,SRR5275900,SRR5275907,SRR5275897,SRR5275908,SRR5275904	SRR5275902_108045,SRR5275900_73888,SRR5275907_578270,SRR5275897_315602,SRR5275902_555073,SRR5275897_428219,SRR5275907_299232,SRR5275900_70115,SRR5275908_542708,SRR5275904_287467
833	Cluster_4112	Unassigned_SRR5275904_69255	8	14	SRR5275904,SRR5275906,SRR5275908,SRR5275919,SRR5275897,SRR5275902,SRR5275907,SRR5275900	SRR5275904_69255,SRR5275906_182286,SRR5275904_103501,SRR5275908_310840,SRR5275919_477191,SRR5275897_40742,SRR5275902_23370,SRR5275902_227218,SRR5275897_325896,SRR5275919_484865,SRR5275906_501516,SRR5275907_256893,SRR5275908_272311,SRR5275900_617715
834	Cluster_4134	Unassigned_SRR5275908_545730	7	10	SRR5275908,SRR5275902,SRR5275904,SRR5275906,SRR5275900,SRR5275919,SRR5275897	SRR5275908_545730,SRR5275902_432320,SRR5275908_321248,SRR5275902_110296,SRR5275904_242078,SRR5275904_496360,SRR5275906_492859,SRR5275900_366863,SRR5275919_583679,SRR5275897_392015
835	Cluster_4135	Unassigned_SRR5275919_286787	9	14	SRR5275919,SRR5275925,SRR5275904,SRR5275927,SRR5275908,SRR5275903,SRR5275897,SRR5275907,SRR5275906	SRR5275919_286787,SRR5275925_514551,SRR5275904_300113,SRR5275925_372394,SRR5275927_581801,SRR5275908_367442,SRR5275903_314348,SRR5275908_409377,SRR5275897_297801,SRR5275907_491730,SRR5275903_319881,SRR5275897_343272,SRR5275906_45938,SRR5275906_390127
836	Cluster_4139	Unassigned_SRR5275902_576648	8	18	SRR5275902,SRR5275908,SRR5275903,SRR5275919,SRR5275906,SRR5275900,SRR5275925,SRR5275907	SRR5275902_576648,SRR5275908_333754,SRR5275903_239135,SRR5275919_388934,SRR5275906_533591,SRR5275900_220734,SRR5275903_184141,SRR5275906_358530,SRR5275902_496412,SRR5275925_274654,SRR5275908_346479,SRR5275903_11895,SRR5275925_735132,SRR5275907_31580,SRR5275906_235023,SRR5275908_549863,SRR5275907_255191,SRR5275900_252291
837	Cluster_4140	Unassigned_SRR5275902_577245	7	11	SRR5275902,SRR5275907,SRR5275908,SRR5275900,SRR5275903,SRR5275904,SRR5275919	SRR5275902_577245,SRR5275907_411730,SRR5275902_492355,SRR5275908_104364,SRR5275900_563491,SRR5275903_470014,SRR5275903_232732,SRR5275904_163154,SRR5275908_406536,SRR5275904_29915,SRR5275919_611892
838	Cluster_4156	Unassigned_SRR5275919_598060	9	16	SRR5275919,SRR5275900,SRR5275902,SRR5275903,SRR5275906,SRR5275904,SRR5275908,SRR5275897,SRR5275907	SRR5275919_598060,SRR5275900_274286,SRR5275919_193300,SRR5275902_85520,SRR5275903_145826,SRR5275906_582672,SRR5275904_291094,SRR5275902_343689,SRR5275904_496286,SRR5275919_598762,SRR5275908_501899,SRR5275908_499516,SRR5275897_314519,SRR5275906_118720,SRR5275900_558168,SRR5275907_31639
839	Cluster_4159	Unassigned_SRR5275927_145889	7	11	SRR5275927,SRR5275904,SRR5275908,SRR5275903,SRR5275906,SRR5275907,SRR5275900	SRR5275927_145889,SRR5275904_268670,SRR5275908_173525,SRR5275908_493295,SRR5275903_128341,SRR5275906_563889,SRR5275907_63748,SRR5275900_499115,SRR5275903_170419,SRR5275904_66913,SRR5275904_514037
840	Cluster_4166	Unassigned_SRR5275902_173747	8	11	SRR5275902,SRR5275900,SRR5275897,SRR5275919,SRR5275903,SRR5275906,SRR5275908,SRR5275904	SRR5275902_173747,SRR5275900_283329,SRR5275897_342637,SRR5275919_136052,SRR5275903_273473,SRR5275906_627881,SRR5275908_246237,SRR5275900_560167,SRR5275902_258731,SRR5275903_24639,SRR5275904_299152
841	Cluster_4170	Unassigned_SRR5275927_615342	8	11	SRR5275927,SRR5275908,SRR5275925,SRR5275906,SRR5275903,SRR5275919,SRR5275902,SRR5275897	SRR5275927_615342,SRR5275908_489966,SRR5275925_30491,SRR5275927_247658,SRR5275906_235419,SRR5275903_501079,SRR5275919_227904,SRR5275925_9009,SRR5275902_472708,SRR5275903_386198,SRR5275897_205023
842	Cluster_4177	Unassigned_SRR5275904_206168	10	15	SRR5275904,SRR5275906,SRR5275902,SRR5275927,SRR5275908,SRR5275903,SRR5275907,SRR5275925,SRR5275900,SRR5275919	SRR5275904_206168,SRR5275906_196615,SRR5275902_241188,SRR5275927_167999,SRR5275908_439679,SRR5275903_464476,SRR5275927_569352,SRR5275907_587365,SRR5275902_55077,SRR5275925_40079,SRR5275900_473091,SRR5275927_167828,SRR5275907_50478,SRR5275919_632690,SRR5275919_185080
843	Cluster_4179	Unassigned_SRR11601791_37866	7	26	SRR11601791,SRR11601852,SRR11601551,SRR11601839,SRR11602038,SRR11601863,SRR11601881	SRR11601791_37866,SRR11601791_353154,SRR11601791_109330,SRR11601791_262724,SRR11601852_50487,SRR11601551_82761,SRR11601791_117508,SRR11601839_39918,SRR11601551_59331,SRR11602038_322462,SRR11601863_138475,SRR11601839_126299,SRR11601881_162893,SRR11601551_23102,SRR11601863_201050,SRR11602038_236977,SRR11601791_48107,SRR11601863_172372,SRR11601852_35601,SRR11602038_151233,SRR11601881_159285,SRR11601791_124634,SRR11601852_82736,SRR11601863_9573,SRR11602038_177534,SRR11602038_526983
844	Cluster_4180	Unassigned_SRR5275897_342687	6	11	SRR5275897,SRR5275907,SRR5275919,SRR5275908,SRR5275906,SRR5275904	SRR5275897_342687,SRR5275897_28377,SRR5275907_265465,SRR5275907_36365,SRR5275919_543128,SRR5275919_178961,SRR5275908_514682,SRR5275906_134738,SRR5275904_431452,SRR5275908_115427,SRR5275906_59456
845	Cluster_4190	Unassigned_SRR5275903_284324	9	10	SRR5275903,SRR5275925,SRR5275904,SRR5275906,SRR5275908,SRR5275897,SRR5275902,SRR5275900,SRR5275919	SRR5275903_284324,SRR5275925_391695,SRR5275904_69957,SRR5275906_423864,SRR5275908_119079,SRR5275897_254577,SRR5275902_379337,SRR5275908_471578,SRR5275900_207925,SRR5275919_255247
846	Cluster_4193	Unassigned_SRR5275919_440939	8	14	SRR5275919,SRR5275908,SRR5275907,SRR5275906,SRR5275903,SRR5275927,SRR5275904,SRR5275902	SRR5275919_440939,SRR5275908_31583,SRR5275907_595929,SRR5275906_123174,SRR5275903_86989,SRR5275927_189973,SRR5275904_186223,SRR5275904_34591,SRR5275906_171961,SRR5275903_464711,SRR5275902_391332,SRR5275908_442352,SRR5275919_578069,SRR5275907_445482
847	Cluster_4198	Unassigned_SRR5275925_715760	8	12	SRR5275925,SRR5275927,SRR5275906,SRR5275903,SRR5275919,SRR5275907,SRR5275900,SRR5275908	SRR5275925_715760,SRR5275927_402411,SRR5275927_76090,SRR5275906_467802,SRR5275903_9472,SRR5275919_76933,SRR5275907_1942,SRR5275900_11516,SRR5275903_484455,SRR5275919_355313,SRR5275908_281007,SRR5275925_480744
848	Cluster_4204	Unassigned_SRR5275900_403994	8	15	SRR5275900,SRR5275919,SRR5275906,SRR5275907,SRR5275908,SRR5275903,SRR5275902,SRR5275904	SRR5275900_403994,SRR5275919_632932,SRR5275906_344354,SRR5275907_109423,SRR5275908_184192,SRR5275903_88218,SRR5275902_297165,SRR5275904_511070,SRR5275907_230840,SRR5275903_61772,SRR5275900_44847,SRR5275906_41531,SRR5275908_135443,SRR5275904_86448,SRR5275919_487416
849	Cluster_4216	Unassigned_SRR5275904_136254	8	13	SRR5275904,SRR5275925,SRR5275903,SRR5275919,SRR5275908,SRR5275906,SRR5275902,SRR5275907	SRR5275904_136254,SRR5275925_96769,SRR5275903_147699,SRR5275925_646590,SRR5275919_147029,SRR5275925_520759,SRR5275908_45330,SRR5275906_351760,SRR5275902_189239,SRR5275907_31421,SRR5275904_359809,SRR5275907_610032,SRR5275925_10906
850	Cluster_4229	Unassigned_SRR5275919_33716	7	10	SRR5275919,SRR5275902,SRR5275897,SRR5275908,SRR5275900,SRR5275903,SRR5275904	SRR5275919_33716,SRR5275902_393379,SRR5275897_120386,SRR5275902_74496,SRR5275908_489139,SRR5275900_603354,SRR5275903_279090,SRR5275903_509920,SRR5275904_35234,SRR5275919_217667
851	Cluster_4230	Unassigned_SRR5275907_549142	7	13	SRR5275907,SRR5275897,SRR5275903,SRR5275906,SRR5275919,SRR5275904,SRR5275908	SRR5275907_549142,SRR5275897_61542,SRR5275897_311770,SRR5275903_141304,SRR5275906_146633,SRR5275919_372445,SRR5275919_1178,SRR5275904_89051,SRR5275906_110830,SRR5275903_231609,SRR5275908_452926,SRR5275904_248358,SRR5275907_421446
852	Cluster_4237	Unassigned_SRR5275903_385361	10	10	SRR5275903,SRR5275908,SRR5275906,SRR5275902,SRR5275904,SRR5275897,SRR5275907,SRR5275919,SRR5275925,SRR5275900	SRR5275903_385361,SRR5275908_420734,SRR5275906_431018,SRR5275902_386431,SRR5275904_429385,SRR5275897_63759,SRR5275907_11335,SRR5275919_154998,SRR5275925_78717,SRR5275900_341036
853	Cluster_4241	Unassigned_SRR5275902_200524	7	10	SRR5275902,SRR5275925,SRR5275897,SRR5275919,SRR5275908,SRR5275904,SRR5275907	SRR5275902_200524,SRR5275925_498207,SRR5275897_332422,SRR5275919_469800,SRR5275908_437266,SRR5275925_365444,SRR5275904_11436,SRR5275904_355912,SRR5275907_311295,SRR5275907_532941
854	Cluster_4245	Unassigned_SRR5275919_523077	8	14	SRR5275919,SRR5275897,SRR5275904,SRR5275902,SRR5275908,SRR5275900,SRR5275903,SRR5275907	SRR5275919_523077,SRR5275897_309576,SRR5275904_10251,SRR5275904_40647,SRR5275919_334950,SRR5275902_140928,SRR5275902_431094,SRR5275908_145195,SRR5275900_624762,SRR5275903_252632,SRR5275907_390522,SRR5275900_294919,SRR5275903_380746,SRR5275907_371807
855	Cluster_4248	Unassigned_SRR5275902_481305	10	15	SRR5275902,SRR5275897,SRR5275904,SRR5275908,SRR5275906,SRR5275907,SRR5275927,SRR5275919,SRR5275900,SRR5275925	SRR5275902_481305,SRR5275897_441188,SRR5275904_463732,SRR5275908_448642,SRR5275906_592583,SRR5275902_11068,SRR5275907_563800,SRR5275897_40692,SRR5275927_259272,SRR5275919_296258,SRR5275900_463749,SRR5275925_415797,SRR5275919_109054,SRR5275906_214952,SRR5275925_521871
856	Cluster_4250	Unassigned_SRR5275902_79125	9	10	SRR5275902,SRR5275903,SRR5275906,SRR5275897,SRR5275907,SRR5275919,SRR5275904,SRR5275900,SRR5275925	SRR5275902_79125,SRR5275903_466141,SRR5275906_215094,SRR5275897_279844,SRR5275907_220325,SRR5275919_470228,SRR5275897_153101,SRR5275904_475681,SRR5275900_614732,SRR5275925_287161
857	Cluster_4255	Unassigned_SRR5275919_23685	10	10	SRR5275919,SRR5275925,SRR5275908,SRR5275904,SRR5275927,SRR5275903,SRR5275902,SRR5275900,SRR5275906,SRR5275897	SRR5275919_23685,SRR5275925_475045,SRR5275908_370985,SRR5275904_99569,SRR5275927_439046,SRR5275903_399048,SRR5275902_524742,SRR5275900_604857,SRR5275906_521279,SRR5275897_317501
858	Cluster_4257	Unassigned_SRR5275919_357111	6	10	SRR5275919,SRR5275904,SRR5275903,SRR5275907,SRR5275906,SRR5275908	SRR5275919_357111,SRR5275904_242518,SRR5275903_408634,SRR5275907_190491,SRR5275906_254931,SRR5275908_487837,SRR5275907_514117,SRR5275904_67029,SRR5275908_379467,SRR5275903_131691
859	Cluster_4258	Unassigned_SRR5275906_145054	6	10	SRR5275906,SRR5275908,SRR5275904,SRR5275907,SRR5275919,SRR5275903	SRR5275906_145054,SRR5275908_93251,SRR5275904_223122,SRR5275907_77252,SRR5275919_230276,SRR5275904_355047,SRR5275907_151940,SRR5275906_11600,SRR5275919_553994,SRR5275903_224098
860	Cluster_4261	Unassigned_SRR5275906_515290	6	10	SRR5275906,SRR5275902,SRR5275907,SRR5275897,SRR5275919,SRR5275904	SRR5275906_515290,SRR5275902_324742,SRR5275907_40993,SRR5275897_109733,SRR5275919_557093,SRR5275897_75938,SRR5275907_196203,SRR5275904_280557,SRR5275907_537938,SRR5275902_96748
861	Cluster_4264	Unassigned_SRR5275900_421683	7	12	SRR5275900,SRR5275908,SRR5275919,SRR5275897,SRR5275906,SRR5275902,SRR5275904	SRR5275900_421683,SRR5275908_542437,SRR5275919_163532,SRR5275897_366950,SRR5275906_501324,SRR5275897_154401,SRR5275900_471328,SRR5275902_348867,SRR5275919_616242,SRR5275908_406365,SRR5275904_428322,SRR5275904_213103
862	Cluster_4266	Unassigned_SRR5275927_273881	8	11	SRR5275927,SRR5275897,SRR5275902,SRR5275906,SRR5275908,SRR5275903,SRR5275919,SRR5275907	SRR5275927_273881,SRR5275897_225430,SRR5275902_320749,SRR5275906_26068,SRR5275908_25856,SRR5275897_331207,SRR5275906_218226,SRR5275903_139078,SRR5275908_560573,SRR5275919_618463,SRR5275907_132343
863	Cluster_4271	Unassigned_SRR5275900_392314	6	10	SRR5275900,SRR5275904,SRR5275897,SRR5275902,SRR5275906,SRR5275925	SRR5275900_392314,SRR5275904_260948,SRR5275897_284711,SRR5275900_42958,SRR5275902_68977,SRR5275906_512840,SRR5275902_116241,SRR5275906_398822,SRR5275897_196170,SRR5275925_491367
864	Cluster_4280	Unassigned_SRR5275903_391516	7	10	SRR5275903,SRR5275906,SRR5275908,SRR5275907,SRR5275904,SRR5275902,SRR5275919	SRR5275903_391516,SRR5275906_373962,SRR5275903_227553,SRR5275908_453146,SRR5275907_535673,SRR5275904_272262,SRR5275907_312493,SRR5275903_270922,SRR5275902_293804,SRR5275919_186902
865	Cluster_4285	Unassigned_SRR5275903_428382	5	10	SRR5275903,SRR5275906,SRR5275907,SRR5275919,SRR5275900	SRR5275903_428382,SRR5275906_362460,SRR5275906_422623,SRR5275907_267836,SRR5275919_399174,SRR5275906_244159,SRR5275906_38421,SRR5275903_129670,SRR5275900_501300,SRR5275900_283775
866	Cluster_4303	Unassigned_SRR5275919_274152	7	12	SRR5275919,SRR5275903,SRR5275907,SRR5275927,SRR5275925,SRR5275904,SRR5275906	SRR5275919_274152,SRR5275903_485340,SRR5275919_141764,SRR5275903_244406,SRR5275907_91201,SRR5275927_323553,SRR5275907_45752,SRR5275925_303025,SRR5275925_204790,SRR5275904_27020,SRR5275906_7725,SRR5275906_280625
867	Cluster_4317	Unassigned_SRR5275903_159475	11	20	SRR5275903,SRR5275904,SRR5275897,SRR5275919,SRR5275925,SRR5275900,SRR5275927,SRR5275906,SRR5275907,SRR5275908,SRR5275902	SRR5275903_159475,SRR5275903_119578,SRR5275904_524448,SRR5275897_271831,SRR5275919_567905,SRR5275925_146326,SRR5275925_256667,SRR5275900_112702,SRR5275903_57506,SRR5275919_285930,SRR5275927_138098,SRR5275906_234734,SRR5275907_42413,SRR5275907_323353,SRR5275906_277203,SRR5275908_238946,SRR5275903_429127,SRR5275919_157898,SRR5275927_622028,SRR5275902_330864
868	Cluster_4320	Unassigned_SRR5275927_372258	8	10	SRR5275927,SRR5275925,SRR5275900,SRR5275903,SRR5275908,SRR5275904,SRR5275906,SRR5275907	SRR5275927_372258,SRR5275925_701550,SRR5275900_126905,SRR5275903_3376,SRR5275908_437208,SRR5275904_275063,SRR5275903_461192,SRR5275906_37375,SRR5275907_175956,SRR5275907_352647
869	Cluster_4321	Unassigned_SRR5275900_561151	10	15	SRR5275900,SRR5275904,SRR5275919,SRR5275902,SRR5275908,SRR5275903,SRR5275906,SRR5275907,SRR5275925,SRR5275927	SRR5275900_561151,SRR5275904_68891,SRR5275904_471042,SRR5275919_300506,SRR5275902_20774,SRR5275908_135908,SRR5275903_399381,SRR5275906_67191,SRR5275919_301671,SRR5275907_486260,SRR5275906_89902,SRR5275903_491840,SRR5275925_683756,SRR5275927_625230,SRR5275908_492177
870	Cluster_4331	Unassigned_SRR5275897_103023	6	11	SRR5275897,SRR5275906,SRR5275902,SRR5275925,SRR5275907,SRR5275903	SRR5275897_103023,SRR5275906_384499,SRR5275902_496817,SRR5275925_777287,SRR5275902_267447,SRR5275925_122287,SRR5275907_10617,SRR5275897_213003,SRR5275906_360623,SRR5275907_414906,SRR5275903_2777
871	Cluster_4344	Unassigned_SRR5275903_357389	7	14	SRR5275903,SRR5275906,SRR5275900,SRR5275908,SRR5275907,SRR5275919,SRR5275902	SRR5275903_357389,SRR5275906_441881,SRR5275900_614076,SRR5275903_446323,SRR5275906_8876,SRR5275908_58276,SRR5275907_101570,SRR5275907_177160,SRR5275919_133811,SRR5275908_33209,SRR5275902_362062,SRR5275902_301019,SRR5275900_257737,SRR5275919_277279
872	Cluster_4345	Unassigned_SRR5275907_386993	8	16	SRR5275907,SRR5275897,SRR5275908,SRR5275904,SRR5275900,SRR5275925,SRR5275906,SRR5275927	SRR5275907_386993,SRR5275897_67351,SRR5275908_421296,SRR5275897_204460,SRR5275908_403497,SRR5275907_9189,SRR5275908_270436,SRR5275904_157731,SRR5275900_611527,SRR5275908_97452,SRR5275925_419478,SRR5275906_362726,SRR5275925_748963,SRR5275927_700436,SRR5275927_509408,SRR5275925_154484
873	Cluster_4350	Unassigned_SRR5275925_737168	9	10	SRR5275925,SRR5275907,SRR5275900,SRR5275908,SRR5275906,SRR5275919,SRR5275904,SRR5275902,SRR5275897	SRR5275925_737168,SRR5275907_348222,SRR5275900_635296,SRR5275908_103948,SRR5275906_38044,SRR5275919_625387,SRR5275904_283785,SRR5275902_188130,SRR5275906_495632,SRR5275897_430108
874	Cluster_4362	Unassigned_SRR5275907_441191	9	12	SRR5275907,SRR5275903,SRR5275927,SRR5275906,SRR5275902,SRR5275904,SRR5275908,SRR5275900,SRR5275897	SRR5275907_441191,SRR5275903_497027,SRR5275927_638442,SRR5275903_459420,SRR5275906_244932,SRR5275902_469307,SRR5275904_17847,SRR5275908_71189,SRR5275900_216250,SRR5275902_358940,SRR5275904_247320,SRR5275897_19922
875	Cluster_4370	Unassigned_SRR5275927_62492	7	10	SRR5275927,SRR5275902,SRR5275907,SRR5275906,SRR5275908,SRR5275903,SRR5275904	SRR5275927_62492,SRR5275902_288575,SRR5275907_454089,SRR5275906_406292,SRR5275908_282656,SRR5275907_517399,SRR5275908_2192,SRR5275903_469826,SRR5275904_321407,SRR5275903_408433
876	Cluster_4371	Unassigned_SRR5275908_349615	10	10	SRR5275908,SRR5275919,SRR5275900,SRR5275904,SRR5275903,SRR5275907,SRR5275897,SRR5275906,SRR5275925,SRR5275902	SRR5275908_349615,SRR5275919_438287,SRR5275900_361367,SRR5275904_526608,SRR5275903_458960,SRR5275907_321565,SRR5275897_320777,SRR5275906_541974,SRR5275925_19074,SRR5275902_108343
877	Cluster_4373	Unassigned_SRR5275907_594843	10	12	SRR5275907,SRR5275902,SRR5275897,SRR5275927,SRR5275925,SRR5275908,SRR5275903,SRR5275900,SRR5275904,SRR5275906	SRR5275907_594843,SRR5275902_92135,SRR5275897_407507,SRR5275927_348918,SRR5275925_345466,SRR5275908_134504,SRR5275903_13456,SRR5275900_346723,SRR5275897_354069,SRR5275904_341136,SRR5275907_197064,SRR5275906_84418
878	Cluster_4376	Unassigned_SRR5275919_244478	9	13	SRR5275919,SRR5275906,SRR5275908,SRR5275907,SRR5275904,SRR5275903,SRR5275897,SRR5275927,SRR5275925	SRR5275919_244478,SRR5275919_166731,SRR5275906_241437,SRR5275908_207894,SRR5275907_186331,SRR5275908_121568,SRR5275904_76814,SRR5275906_240073,SRR5275903_298863,SRR5275904_443728,SRR5275897_69796,SRR5275927_42755,SRR5275925_610124
879	Cluster_4387	Unassigned_SRR5275902_497588	9	17	SRR5275902,SRR5275897,SRR5275906,SRR5275904,SRR5275900,SRR5275907,SRR5275903,SRR5275908,SRR5275919	SRR5275902_497588,SRR5275897_392014,SRR5275897_404277,SRR5275906_303838,SRR5275904_308387,SRR5275900_431022,SRR5275906_618294,SRR5275907_289642,SRR5275903_256625,SRR5275903_347931,SRR5275902_487399,SRR5275904_438702,SRR5275908_296537,SRR5275919_280915,SRR5275900_534779,SRR5275907_472500,SRR5275908_504735
880	Cluster_4393	Unassigned_SRR5275927_306728	7	10	SRR5275927,SRR5275906,SRR5275903,SRR5275908,SRR5275907,SRR5275925,SRR5275904	SRR5275927_306728,SRR5275906_297611,SRR5275927_250470,SRR5275903_287809,SRR5275906_189292,SRR5275908_149239,SRR5275903_170704,SRR5275907_402745,SRR5275925_405027,SRR5275904_395329
881	Cluster_4406	Unassigned_SRR5275903_253665	7	11	SRR5275903,SRR5275907,SRR5275897,SRR5275908,SRR5275902,SRR5275919,SRR5275927	SRR5275903_253665,SRR5275907_286852,SRR5275903_327967,SRR5275897_447616,SRR5275908_199993,SRR5275902_400290,SRR5275902_332519,SRR5275919_159560,SRR5275927_539780,SRR5275907_76472,SRR5275919_245869
882	Cluster_4412	Unassigned_SRR5275925_177386	7	12	SRR5275925,SRR5275927,SRR5275902,SRR5275897,SRR5275908,SRR5275906,SRR5275900	SRR5275925_177386,SRR5275925_576804,SRR5275927_176061,SRR5275927_256203,SRR5275902_67887,SRR5275897_431536,SRR5275908_329017,SRR5275902_100000,SRR5275906_237970,SRR5275900_548337,SRR5275897_108892,SRR5275906_124262
883	Cluster_4413	Unassigned_SRR5275903_342303	8	10	SRR5275903,SRR5275927,SRR5275908,SRR5275906,SRR5275907,SRR5275902,SRR5275904,SRR5275925	SRR5275903_342303,SRR5275927_359346,SRR5275908_227969,SRR5275906_614912,SRR5275927_208157,SRR5275907_241028,SRR5275902_263139,SRR5275904_309906,SRR5275902_5480,SRR5275925_647774
884	Cluster_4415	Unassigned_SRR5275908_261442	9	14	SRR5275908,SRR5275900,SRR5275904,SRR5275903,SRR5275925,SRR5275919,SRR5275906,SRR5275907,SRR5275902	SRR5275908_261442,SRR5275900_218678,SRR5275904_139979,SRR5275900_257319,SRR5275903_56135,SRR5275925_23405,SRR5275919_310440,SRR5275906_362950,SRR5275908_493084,SRR5275907_562296,SRR5275902_222391,SRR5275919_448279,SRR5275906_512699,SRR5275925_162202
